ID;Trvanie;Deadline;Profit
Task1;60;08/01/2026 09:15;472
Task2;240;07/01/2026 12:00;170
Task3;120;12/01/2026 10:15;809
Task4;300;07/01/2026 12:00;555
Task5;60;09/01/2026 13:30;790
Task6;90;05/01/2026 21:00;591
Task7;60;05/01/2026 07:15;816
Task8;30;09/01/2026 19:00;670
Task9;90;08/01/2026 08:00;828
Task10;30;06/01/2026 07:45;208
Task11;60;09/01/2026 16:30;465
Task12;45;09/01/2026 09:00;811
Task13;120;12/01/2026 22:15;201
Task14;240;05/01/2026 13:00;728
Task15;60;12/01/2026 22:00;852
Task16;180;10/01/2026 21:15;354
Task17;120;09/01/2026 20:30;164
Task18;120;10/01/2026 10:15;145
Task19;120;05/01/2026 20:45;155
Task20;45;07/01/2026 15:45;89
Task21;240;05/01/2026 07:45;61
Task22;300;07/01/2026 19:30;599
Task23;300;12/01/2026 04:00;735
Task24;90;09/01/2026 01:30;244
Task25;90;06/01/2026 18:15;95
Task26;120;06/01/2026 11:30;864
Task27;30;11/01/2026 20:00;584
Task28;30;08/01/2026 15:30;175
Task29;300;12/01/2026 23:15;812
Task30;45;07/01/2026 11:00;510
Task31;90;05/01/2026 23:30;625
Task32;120;10/01/2026 17:15;76
Task33;90;12/01/2026 22:45;314
Task34;120;12/01/2026 13:00;767
Task35;300;10/01/2026 23:15;468
Task36;60;12/01/2026 21:15;475
Task37;120;12/01/2026 14:00;318
Task38;300;05/01/2026 11:00;659
Task39;180;07/01/2026 19:00;168
Task40;120;12/01/2026 09:00;810
Task41;180;05/01/2026 17:00;594
Task42;30;06/01/2026 05:30;53
Task43;45;07/01/2026 07:45;621
Task44;180;11/01/2026 21:30;545
Task45;30;05/01/2026 17:00;581
Task46;45;11/01/2026 19:00;544
Task47;240;12/01/2026 09:30;118
Task48;240;05/01/2026 08:15;628
Task49;90;11/01/2026 04:15;761
Task50;300;10/01/2026 14:30;196
Task51;45;08/01/2026 21:45;727
Task52;300;06/01/2026 09:45;515
Task53;30;09/01/2026 10:00;459
Task54;300;12/01/2026 17:00;823
Task55;45;05/01/2026 22:15;368
Task56;30;07/01/2026 21:30;494
Task57;30;08/01/2026 13:15;720
Task58;180;09/01/2026 18:45;684
Task59;30;12/01/2026 14:00;50
Task60;120;05/01/2026 16:15;207
Task61;300;05/01/2026 18:30;559
Task62;240;12/01/2026 16:15;258
Task63;300;11/01/2026 12:45;63
Task64;30;08/01/2026 23:30;885
Task65;120;11/01/2026 19:45;831
Task66;120;11/01/2026 13:30;654
Task67;90;11/01/2026 12:00;281
Task68;30;12/01/2026 22:45;677
Task69;300;09/01/2026 09:00;394
Task70;30;11/01/2026 22:30;459
Task71;240;08/01/2026 00:00;512
Task72;45;11/01/2026 12:45;291
Task73;30;06/01/2026 14:00;413
Task74;180;12/01/2026 05:30;466
Task75;30;11/01/2026 23:00;276
Task76;180;10/01/2026 17:45;364
Task77;240;08/01/2026 20:45;551
Task78;60;12/01/2026 18:30;501
Task79;180;08/01/2026 10:45;503
Task80;90;06/01/2026 10:45;833
Task81;300;09/01/2026 12:45;445
Task82;120;09/01/2026 22:00;189
Task83;120;12/01/2026 12:00;734
Task84;45;11/01/2026 17:45;67
Task85;45;12/01/2026 12:15;114
Task86;45;11/01/2026 22:00;198
Task87;60;10/01/2026 07:45;827
Task88;180;10/01/2026 23:45;785
Task89;120;12/01/2026 14:45;333
Task90;180;07/01/2026 10:45;275
Task91;180;05/01/2026 13:00;462
Task92;30;06/01/2026 15:15;348
Task93;240;09/01/2026 16:15;784
Task94;90;10/01/2026 22:45;120
Task95;300;09/01/2026 09:00;458
Task96;180;05/01/2026 18:00;801
Task97;240;09/01/2026 16:30;886
Task98;240;06/01/2026 10:45;508
Task99;300;09/01/2026 00:45;558
Task100;180;12/01/2026 10:45;855
