ID;Trvanie;Deadline;Profit
Task1;180;09/01/2026 16:00;675
Task2;120;09/01/2026 23:00;486
Task3;240;10/01/2026 18:15;126
Task4;300;12/01/2026 08:30;310
Task5;60;11/01/2026 16:45;560
Task6;90;08/01/2026 05:00;312
Task7;120;06/01/2026 18:30;226
Task8;30;07/01/2026 11:30;347
Task9;120;09/01/2026 13:45;817
Task10;60;10/01/2026 17:15;806
Task11;180;08/01/2026 18:15;568
Task12;90;10/01/2026 08:45;864
Task13;240;05/01/2026 09:00;890
Task14;120;05/01/2026 14:00;647
Task15;180;06/01/2026 18:45;891
Task16;30;05/01/2026 10:30;78
Task17;60;10/01/2026 23:45;193
Task18;240;09/01/2026 22:15;471
Task19;60;09/01/2026 07:15;878
Task20;120;09/01/2026 10:30;321
Task21;300;10/01/2026 16:30;296
Task22;180;05/01/2026 12:15;811
Task23;90;07/01/2026 10:30;688
Task24;180;05/01/2026 06:15;450
Task25;180;06/01/2026 23:30;497
Task26;30;05/01/2026 19:15;482
Task27;300;07/01/2026 22:00;478
Task28;90;06/01/2026 10:30;534
Task29;240;08/01/2026 05:30;250
Task30;120;05/01/2026 14:30;300
Task31;90;09/01/2026 01:30;854
Task32;60;08/01/2026 16:30;90
Task33;90;05/01/2026 06:00;716
Task34;60;05/01/2026 16:00;625
Task35;60;10/01/2026 19:00;752
Task36;30;11/01/2026 08:00;106
Task37;60;11/01/2026 20:00;597
Task38;30;06/01/2026 18:45;633
Task39;180;12/01/2026 17:15;670
Task40;120;09/01/2026 21:45;600
Task41;120;10/01/2026 16:30;652
Task42;180;12/01/2026 19:45;338
Task43;300;05/01/2026 18:30;900
Task44;45;05/01/2026 05:45;410
Task45;60;06/01/2026 04:30;349
Task46;30;10/01/2026 20:15;705
Task47;300;08/01/2026 05:00;140
Task48;120;10/01/2026 12:30;381
Task49;30;10/01/2026 02:15;145
Task50;60;05/01/2026 09:00;100
